Context,Word,Probability
 und sich als Susanne Amundsen vorstellte  [MASK],aber,1.611176116966817e-06
und sich als Susanne Amundsen vorstellte  aber [MASK],nein,0.0025426787324249744
sich als Susanne Amundsen vorstellte  aber nein [MASK],,4.1648323190202063e-07
als Susanne Amundsen vorstellte  aber nein  [MASK],das,4.438440373633057e-05
Susanne Amundsen vorstellte  aber nein  das [MASK],ging,1.6903617506613955e-05
Amundsen vorstellte  aber nein  das ging [MASK],nicht,0.001757742720656097
vorstellte  aber nein  das ging nicht [MASK],,2.9111829462635797e-06
 aber nein  das ging nicht  [MASK],Dabei,2.0115296095468693e-08
aber nein  das ging nicht  Dabei [MASK],stellte,3.9093970372050535e-07
nein  das ging nicht  Dabei stellte [MASK],sich,0.0005644958582706749
 das ging nicht  Dabei stellte sich [MASK],die,0.0019269174663349986
das ging nicht  Dabei stellte sich die [MASK],ganze,0.0022827377542853355
ging nicht  Dabei stellte sich die ganze [MASK],Zeit,0.001239590346813202
nicht  Dabei stellte sich die ganze Zeit [MASK],eine,0.003841788275167346
 Dabei stellte sich die ganze Zeit eine [MASK],andere,0.0021640833001583815
Dabei stellte sich die ganze Zeit eine andere [MASK],vor,7.490639836760238e-05
stellte sich die ganze Zeit eine andere vor [MASK],,9.817480162155334e-09
sich die ganze Zeit eine andere vor  [MASK],Nun,2.549644761984382e-07
die ganze Zeit eine andere vor  Nun [MASK],sprang,3.4081913327099755e-06
ganze Zeit eine andere vor  Nun sprang [MASK],sie,0.000495570246130228
Zeit eine andere vor  Nun sprang sie [MASK],vom,0.0005688716191798449
eine andere vor  Nun sprang sie vom [MASK],Hocker,1.9677165710163536e-06
andere vor  Nun sprang sie vom Hocker [MASK],und,0.0006699385121464729
vor  Nun sprang sie vom Hocker und [MASK],ging,0.00865099485963583
 Nun sprang sie vom Hocker und ging [MASK],mit,0.00271109608002007
Nun sprang sie vom Hocker und ging mit [MASK],dem,0.0032815842423588037
sprang sie vom Hocker und ging mit dem [MASK],seltsamen,1.7074714833142934e-06
sie vom Hocker und ging mit dem seltsamen [MASK],Brief,0.0016712079523131251
vom Hocker und ging mit dem seltsamen Brief [MASK],in,0.0008355460013262928
Hocker und ging mit dem seltsamen Brief in [MASK],der,0.000245609728153795
und ging mit dem seltsamen Brief in der [MASK],Hand,0.0376727357506752
ging mit dem seltsamen Brief in der Hand [MASK],,1.1353384252288379e-05
mit dem seltsamen Brief in der Hand  [MASK],ins,4.8183406761381775e-05
dem seltsamen Brief in der Hand  ins [MASK],Augen,0.00030045316088944674
seltsamen Brief in der Hand  ins Augen [MASK],,1.5864530723774806e-05
Brief in der Hand  ins Augen  [MASK],Sie,6.142351594462525e-06
in der Hand  ins Augen  Sie [MASK],stellte,2.346214841963956e-06
der Hand  ins Augen  Sie stellte [MASK],sich,0.005794140510261059
Hand  ins Augen  Sie stellte sich [MASK],vor,0.043216556310653687
 ins Augen  Sie stellte sich vor [MASK],den,0.0012389372568577528
ins Augen  Sie stellte sich vor den [MASK],Spiegel,0.06678567826747894
Augen  Sie stellte sich vor den Spiegel [MASK],,4.0907729271566495e-05
 Sie stellte sich vor den Spiegel  [MASK],und,0.000981473713181913
Sie stellte sich vor den Spiegel  und [MASK],starrte,0.0003265838313382119
stellte sich vor den Spiegel  und starrte [MASK],sich,0.007781639229506254
sich vor den Spiegel  und starrte sich [MASK],in,0.002090948401018977
vor den Spiegel  und starrte sich in [MASK],die,0.04639967530965805
den Spiegel  und starrte sich in die [MASK],Augen,0.04340888559818268
Spiegel  und starrte sich in die Augen [MASK],,5.373960448196158e-06
 und starrte sich in die Augen  [MASK],Ich,9.614308993377563e-08
und starrte sich in die Augen  Ich [MASK],bin,0.04822785407304764
starrte sich in die Augen  Ich bin [MASK],Sofie,4.876599177805474e-07
sich in die Augen  Ich bin Sofie [MASK],Amundsen,3.486509285721695e-06
in die Augen  Ich bin Sofie Amundsen [MASK],,6.3637583025411e-07
